RA;ano_dados;fase;idade;genero;anos_ingresso;instituicao;pedra_atual;inde_atual;indicador_auto_avaliacao;indicador_engajamento;indicador_psicossocial;indicador_aprendizagem;indicador_ponto_virada;indicador_adequacao_nivel;indicador_psico_pedagogico;defasagem
1;2022;7;19;F;6;Pública;Quartzo;5,783;8,3;4,1;5,6;4,0;7,278;5,0;8,174;-1
2;2022;7;17;F;5;Privada;Ametista;7,055;8,8;5,2;6,3;6,8;6,778;10,0;7,894;0
3;2022;7;17;F;6;Privada;Ágata;6,591;0,0;7,9;5,6;5,6;7,556;10,0;8,198;0
4;2022;7;17;M;5;Privada;Quartzo;5,951;8,8;4,5;5,6;5,0;5,278;10,0;5,554;0
5;2022;7;17;F;6;Privada;Ametista;7,427;7,9;8,6;5,6;5,2;7,389;10,0;8,392;0
6;2022;7;18;F;1;Pública;Quartzo;5,848;7,9;4,5;7,5;3,3;7,222;5,0;8,036;-1
7;2022;7;18;M;5;Privada;Ágata;6,818;0,0;8,4;7,5;7,6;7,667;5,0;8,346;-1
8;2022;7;20;F;4;Pública;Quartzo;4,786;7,1;4,6;6,3;1,6;6,278;5,0;4,504;-1
9;2022;7;18;F;3;Pública;Topázio;8,109;8,8;9,5;7,5;6,7;9,5;5,0;8,39;-1
10;2022;7;18;F;1;Pública;Quartzo;5,784;8,3;5,2;5,0;4,1;7,056;5,0;6,828;-1
11;2022;7;18;F;6;Pública;Quartzo;5,323;9,2;4,2;5,0;3,0;6,389;5,0;6,852;-1
12;2022;7;17;F;2;Pública;Quartzo;4,832;0,0;4,0;6,9;1,5;6,389;10,0;7,642;0
13;2022;7;18;M;6;Pública;Ágata;6,902;7,9;7,4;7,5;4,7;8,056;5,0;8,308;-1
14;2022;7;21;M;0;Pública;Ágata;6,793;7,9;8,3;7,5;4,0;7,75;5,0;7,43;-1
15;2022;7;18;M;0;Pública;Ametista;7,783;8,8;10,0;7,5;7,3;7,292;5,0;7,346;-1
16;2022;7;19;M;0;Pública;Ágata;6,112;7,9;8,3;5,0;3,5;6,333;5,0;6,954;-1
17;2022;7;20;M;0;Pública;Topázio;8,068;8,8;10,0;7,5;7,8;8,292;5,0;7,196;-1
18;2022;7;19;M;0;Pública;Ametista;7,226;6,3;8,7;6,3;9,0;6,875;5,0;5,51;-1
19;2022;7;19;F;0;Pública;Ametista;7,665;7,9;9,5;7,5;8,0;7,0;5,0;7,25;-1
20;2022;7;19;F;0;Pública;Ametista;7,535;7,1;10,0;6,3;7,8;7,167;5,0;7,016;-1
21;2022;7;18;M;0;Pública;Ágata;6,945;9,6;9,2;7,5;3,8;7,25;5,0;6,85;-1
22;2022;6;17;F;3;Privada;Ametista;7,474;8,3;7,4;8,1;6,7;8,833;5,0;7,474;-1
23;2022;6;17;M;1;Pública;Ametista;7,677;8,3;8,2;8,1;6,7;8,556;5,0;8,458;-1
24;2022;6;17;F;1;Privada;Topázio;8,087;9,2;7,9;6,9;8,6;9,111;5,0;8,548;-1
25;2022;6;17;F;1;Pública;Ametista;7,979;8,3;8,3;8,8;6,9;9,667;5,0;7,956;-1
26;2022;6;17;M;0;Pública;Topázio;8,677;9,6;8,8;10,0;8,0;10,0;5,0;8,57;-1
27;2022;6;17;M;6;Privada;Ametista;7,124;0,0;7,6;8,1;8,0;9,111;5,0;8,718;-1
28;2022;6;17;F;3;Pública;Ágata;6,242;7,9;6,1;7,5;5,0;6,333;5,0;7,154;-1
29;2022;6;17;M;0;Pública;Quartzo;4,985;0,0;4,0;8,8;3,7;7,611;5,0;5,428;-1
30;2022;6;16;F;1;Pública;Ametista;7,605;8,8;6,4;7,5;7,5;7,333;10,0;7,284;0
31;2022;6;17;F;3;Privada;Topázio;8,843;10,0;9,5;9,4;8,0;10,0;5,0;9,03;-1
